Position,Velocity,Angle,Angular Velocity,Reward,Done,Episode,Step
0.046,0.0,0.0,0.0,1,0,1,0
0.06,0.857,0.0,0.0,1,0,1,1
0.058,-0.122,0.0,0.0,1,0,1,2
0.069,0.673,0.0,0.0,1,0,1,3
0.065,-0.245,0.0,0.0,1,0,1,4
0.053,-0.734,0.0,0.0,1,0,1,5
0.057,0.245,0.0,0.0,1,0,1,6
0.053,-0.245,0.0,0.0,1,0,1,7
0.043,-0.612,0.0,0.0,1,0,1,8
0.032,-0.734,0.017,0.671,1,0,1,9
0.01,-1.346,0.026,0.366,1,0,1,10
0.001,-0.551,0.052,1.038,1,0,1,11
-0.015,-1.04,0.061,0.366,1,0,1,12
-0.031,-0.979,0.082,0.855,1,0,1,13
-0.022,0.551,0.103,0.855,1,0,1,14
-0.004,1.101,0.122,0.733,1,0,1,15
-0.002,0.122,0.108,-0.549,1,0,1,16
-0.014,-0.734,0.091,-0.671,1,0,1,17
-0.03,-0.979,0.111,0.794,1,0,1,18
-0.042,-0.734,0.151,1.587,1,0,1,19
-0.058,-1.04,0.167,0.671,1,0,1,20
-0.075,-1.04,0.211,1.77,0,1,1,21
-0.04,0.122,0.018,0.0,1,0,2,0
-0.028,0.734,0.018,0.0,1,0,2,1
-0.031,-0.184,0.011,-0.305,1,0,2,2
-0.043,-0.734,-0.008,-0.733,1,0,2,3
-0.06,-1.101,0.02,1.099,1,0,2,4
-0.075,-0.918,0.029,0.366,1,0,2,5
-0.091,-1.04,0.049,0.794,1,0,2,6
-0.106,-0.918,0.058,0.366,1,0,2,7
-0.123,-1.04,0.079,0.855,1,0,2,8
-0.141,-1.163,0.091,0.488,1,0,2,9
-0.154,-0.796,0.117,1.038,1,0,2,10
-0.173,-1.163,0.146,1.16,1,0,2,11
-0.186,-0.857,0.161,0.61,1,0,2,12
-0.202,-0.979,0.195,1.343,1,0,2,13
-0.215,-0.796,0.211,0.671,0,1,2,14
-0.042,0.0,0.011,0.0,1,0,3,0
-0.035,0.428,0.011,0.0,1,0,3,1
-0.037,-0.122,0.011,0.0,1,0,3,2
-0.049,-0.796,-0.005,-0.61,1,0,3,3
-0.069,-1.224,-0.002,0.122,1,0,3,4
-0.084,-0.918,0.024,1.038,1,0,3,5
-0.103,-1.224,0.037,0.488,1,0,3,6
-0.098,0.306,0.062,1.038,1,0,3,7
-0.107,-0.551,0.09,1.099,1,0,3,8
-0.118,-0.673,0.094,0.183,1,0,3,9
-0.131,-0.857,0.09,-0.183,1,0,3,10
-0.145,-0.857,0.105,0.61,1,0,3,11
-0.143,0.122,0.138,1.343,1,0,3,12
-0.148,-0.306,0.182,1.77,1,0,3,13
-0.155,-0.428,0.186,0.122,1,0,3,14
-0.169,-0.857,0.219,1.343,0,1,3,15
-0.039,-0.061,0.021,0.0,1,0,4,0
-0.029,0.612,0.023,0.061,1,0,4,1
-0.027,0.122,0.021,-0.061,1,0,4,2
-0.025,0.122,0.015,-0.244,1,0,4,3
-0.027,-0.122,0.021,0.244,1,0,4,4
-0.035,-0.49,0.024,0.122,1,0,4,5
-0.05,-0.979,0.015,-0.366,1,0,4,6
-0.065,-0.918,0.04,0.977,1,0,4,7
-0.082,-1.04,0.055,0.61,1,0,4,8
-0.098,-1.04,0.079,0.977,1,0,4,9
-0.118,-1.224,0.093,0.549,1,0,4,10
-0.132,-0.918,0.122,1.16,1,0,4,11
-0.13,0.122,0.138,0.671,1,0,4,12
-0.132,-0.122,0.176,1.526,1,0,4,13
-0.139,-0.428,0.186,0.366,1,0,4,14
-0.154,-0.918,0.19,0.183,1,0,4,15
-0.171,-1.04,0.239,1.953,0,1,4,16
-0.037,0.061,0.032,0.0,1,0,5,0
-0.026,0.673,0.033,0.061,1,0,5,1
-0.027,-0.061,0.03,-0.122,1,0,5,2
-0.035,-0.49,0.009,-0.855,1,0,5,3
-0.033,0.122,0.026,0.671,1,0,5,4
-0.035,-0.122,0.041,0.61,1,0,5,5
-0.043,-0.551,0.02,-0.855,1,0,5,6
-0.058,-0.918,0.029,0.366,1,0,5,7
-0.056,0.122,0.05,0.855,1,0,5,8
-0.06,-0.245,0.064,0.549,1,0,5,9
-0.073,-0.796,0.064,0.0,1,0,5,10
-0.085,-0.734,0.073,0.366,1,0,5,11
-0.102,-1.101,0.088,0.61,1,0,5,12
-0.101,0.061,0.113,0.977,1,0,5,13
-0.105,-0.245,0.129,0.671,1,0,5,14
-0.11,-0.306,0.137,0.305,1,0,5,15
-0.127,-1.04,0.158,0.855,1,0,5,16
-0.142,-0.979,0.175,0.671,1,0,5,17
-0.156,-0.857,0.217,1.709,0,1,5,18
-0.033,0.061,0.047,0.0,1,0,6,0
-0.029,0.245,0.046,-0.061,1,0,6,1
-0.033,-0.245,0.047,0.061,1,0,6,2
-0.044,-0.734,0.035,-0.488,1,0,6,3
-0.039,0.367,0.046,0.427,1,0,6,4
-0.042,-0.184,0.071,1.038,1,0,6,5
-0.052,-0.673,0.043,-1.16,1,0,6,6
-0.069,-1.04,0.056,0.549,1,0,6,7
-0.082,-0.796,0.082,1.038,1,0,6,8
-0.104,-1.407,0.099,0.671,1,0,6,9
-0.119,-0.918,0.122,0.916,1,0,6,10
-0.138,-1.224,0.14,0.732,1,0,6,11
-0.138,0.0,0.167,1.099,1,0,6,12
-0.146,-0.49,0.21,1.709,0,1,6,13
-0.043,0.0,0.043,0.0,1,0,7,0
-0.026,1.04,0.044,0.061,1,0,7,1
